fp16_bits,fp16_value,taz_applied,effective_input,gelu_f64,bf16_bits,bf16_value,ftz_applied,mpfr_match
0x0000,0.0,False,0.0,0.0,0x0000,0.0,False,True
0x0001,5.960464478e-08,True,0.0,0.0,0x0000,0.0,False,True
0x0002,1.192092896e-07,True,0.0,0.0,0x0000,0.0,False,True
0x0003,1.788139343e-07,True,0.0,0.0,0x0000,0.0,False,True
0x0004,2.384185791e-07,True,0.0,0.0,0x0000,0.0,False,True
0x0005,2.980232239e-07,True,0.0,0.0,0x0000,0.0,False,True
0x0006,3.576278687e-07,True,0.0,0.0,0x0000,0.0,False,True
0x0007,4.172325134e-07,True,0.0,0.0,0x0000,0.0,False,True
0x0008,4.768371582e-07,True,0.0,0.0,0x0000,0.0,False,True
0x0009,5.36441803e-07,True,0.0,0.0,0x0000,0.0,False,True
0x000A,5.960464478e-07,True,0.0,0.0,0x0000,0.0,False,True
0x000B,6.556510925e-07,True,0.0,0.0,0x0000,0.0,False,True
0x000C,7.152557373e-07,True,0.0,0.0,0x0000,0.0,False,True
0x000D,7.748603821e-07,True,0.0,0.0,0x0000,0.0,False,True
0x000E,8.344650269e-07,True,0.0,0.0,0x0000,0.0,False,True
0x000F,8.940696716e-07,True,0.0,0.0,0x0000,0.0,False,True
0x0010,9.536743164e-07,True,0.0,0.0,0x0000,0.0,False,True
0x0011,1.013278961e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0012,1.072883606e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0013,1.132488251e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0014,1.192092896e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0015,1.25169754e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0016,1.311302185e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0017,1.37090683e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0018,1.430511475e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0019,1.490116119e-06,True,0.0,0.0,0x0000,0.0,False,True
0x001A,1.549720764e-06,True,0.0,0.0,0x0000,0.0,False,True
0x001B,1.609325409e-06,True,0.0,0.0,0x0000,0.0,False,True
0x001C,1.668930054e-06,True,0.0,0.0,0x0000,0.0,False,True
0x001D,1.728534698e-06,True,0.0,0.0,0x0000,0.0,False,True
0x001E,1.788139343e-06,True,0.0,0.0,0x0000,0.0,False,True
0x001F,1.847743988e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0020,1.907348633e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0021,1.966953278e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0022,2.026557922e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0023,2.086162567e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0024,2.145767212e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0025,2.205371857e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0026,2.264976501e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0027,2.324581146e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0028,2.384185791e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0029,2.443790436e-06,True,0.0,0.0,0x0000,0.0,False,True
0x002A,2.503395081e-06,True,0.0,0.0,0x0000,0.0,False,True
0x002B,2.562999725e-06,True,0.0,0.0,0x0000,0.0,False,True
0x002C,2.62260437e-06,True,0.0,0.0,0x0000,0.0,False,True
0x002D,2.682209015e-06,True,0.0,0.0,0x0000,0.0,False,True
0x002E,2.74181366e-06,True,0.0,0.0,0x0000,0.0,False,True
0x002F,2.801418304e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0030,2.861022949e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0031,2.920627594e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0032,2.980232239e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0033,3.039836884e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0034,3.099441528e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0035,3.159046173e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0036,3.218650818e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0037,3.278255463e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0038,3.337860107e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0039,3.397464752e-06,True,0.0,0.0,0x0000,0.0,False,True
0x003A,3.457069397e-06,True,0.0,0.0,0x0000,0.0,False,True
0x003B,3.516674042e-06,True,0.0,0.0,0x0000,0.0,False,True
0x003C,3.576278687e-06,True,0.0,0.0,0x0000,0.0,False,True
0x003D,3.635883331e-06,True,0.0,0.0,0x0000,0.0,False,True
0x003E,3.695487976e-06,True,0.0,0.0,0x0000,0.0,False,True
0x003F,3.755092621e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0040,3.814697266e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0041,3.87430191e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0042,3.933906555e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0043,3.9935112e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0044,4.053115845e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0045,4.11272049e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0046,4.172325134e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0047,4.231929779e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0048,4.291534424e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0049,4.351139069e-06,True,0.0,0.0,0x0000,0.0,False,True
0x004A,4.410743713e-06,True,0.0,0.0,0x0000,0.0,False,True
0x004B,4.470348358e-06,True,0.0,0.0,0x0000,0.0,False,True
0x004C,4.529953003e-06,True,0.0,0.0,0x0000,0.0,False,True
0x004D,4.589557648e-06,True,0.0,0.0,0x0000,0.0,False,True
0x004E,4.649162292e-06,True,0.0,0.0,0x0000,0.0,False,True
0x004F,4.708766937e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0050,4.768371582e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0051,4.827976227e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0052,4.887580872e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0053,4.947185516e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0054,5.006790161e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0055,5.066394806e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0056,5.125999451e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0057,5.185604095e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0058,5.24520874e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0059,5.304813385e-06,True,0.0,0.0,0x0000,0.0,False,True
0x005A,5.36441803e-06,True,0.0,0.0,0x0000,0.0,False,True
0x005B,5.424022675e-06,True,0.0,0.0,0x0000,0.0,False,True
0x005C,5.483627319e-06,True,0.0,0.0,0x0000,0.0,False,True
0x005D,5.543231964e-06,True,0.0,0.0,0x0000,0.0,False,True
0x005E,5.602836609e-06,True,0.0,0.0,0x0000,0.0,False,True
0x005F,5.662441254e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0060,5.722045898e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0061,5.781650543e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0062,5.841255188e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0063,5.900859833e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0064,5.960464478e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0065,6.020069122e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0066,6.079673767e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0067,6.139278412e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0068,6.198883057e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0069,6.258487701e-06,True,0.0,0.0,0x0000,0.0,False,True
0x006A,6.318092346e-06,True,0.0,0.0,0x0000,0.0,False,True
0x006B,6.377696991e-06,True,0.0,0.0,0x0000,0.0,False,True
0x006C,6.437301636e-06,True,0.0,0.0,0x0000,0.0,False,True
0x006D,6.496906281e-06,True,0.0,0.0,0x0000,0.0,False,True
0x006E,6.556510925e-06,True,0.0,0.0,0x0000,0.0,False,True
0x006F,6.61611557e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0070,6.675720215e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0071,6.73532486e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0072,6.794929504e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0073,6.854534149e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0074,6.914138794e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0075,6.973743439e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0076,7.033348083e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0077,7.092952728e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0078,7.152557373e-06,True,0.0,0.0,0x0000,0.0,False,True
0x0079,7.212162018e-06,True,0.0,0.0,0x0000,0.0,False,True
0x007A,7.271766663e-06,True,0.0,0.0,0x0000,0.0,False,True
0x007B,7.331371307e-06,True,0.0,0.0,0x0000,0.0,False,True
