fp16_bits,fp16_value,ref_bf16_bits,ref_bf16_value,mpfr_bf16_bits,mpfr_bf16_value,ref_gelu_f64,mpfr_gelu_f64
0xC72E,-7.1796875,0xAC30,-2.5011104298755527e-12,0xAC31,-2.5153212845907547e-12,-2.5080922581854903e-12,-2.5082575453164685e-12
0xC763,-7.38671875,0xAB1D,-5.577760475716786e-13,0xAB1C,-5.542233338928781e-13,-5.560213747757281e-13,-5.558375252852384e-13
0xC77C,-7.484375,0xAA98,-2.7000623958883807e-13,0xAA97,-2.682298827494378e-13,-2.6922214457769655e-13,-2.690199407001931e-13
0xC78C,-7.546875,0xAA3E,-1.687538997430238e-13,0xAA3D,-1.6786572132332367e-13,-1.6841215921825636e-13,-1.68229694159202e-13
0xC78E,-7.5546875,0xAA32,-1.580957587066223e-13,0xAA33,-1.5898393712632242e-13,-1.585216333199746e-13,-1.5859808923942195e-13
0xC791,-7.56640625,0xAA24,-1.4566126083082054e-13,0xAA23,-1.4477308241112041e-13,-1.45326892880826e-13,-1.451580456884921e-13
0xC79A,-7.6015625,0xA9FB,-1.1146639167236572e-13,0xA9FA,-1.1102230246251565e-13,-1.114004721802786e-13,-1.1120189253114093e-13
0xC79E,-7.6171875,0xA9DF,-9.903189379656396e-14,0xA9DE,-9.85878045867139e-14,-9.894429026102713e-14,-9.874259290016469e-14
0xC7A5,-7.64453125,0xA9B5,-8.038014698286133e-14,0xA9B4,-7.993605777301127e-14,-8.02034220287462e-14,-8.015592073520342e-14
0xC7AB,-7.66796875,0xA996,-6.661338147750939e-14,0xA997,-6.705747068735946e-14,-6.682827034809602e-14,-6.699559670348394e-14
0xC7AC,-7.671875,0xA993,-6.52811138479592e-14,0xA992,-6.483702463810914e-14,-6.515881584290284e-14,-6.501917764815118e-14
0xC7B2,-7.6953125,0xA974,-5.417888360170764e-14,0xA975,-5.440092820663267e-14,-5.425130830682967e-14,-5.430919613896818e-14
0xC7B4,-7.703125,0xA967,-5.129230373768223e-14,0xA966,-5.10702591327572e-14,-5.1313120419393954e-14,-5.114041495286009e-14
0xC7B5,-7.70703125,0xA960,-4.973799150320701e-14,0xA95F,-4.951594689828198e-14,-4.9627836562482486e-14,-4.962490963295796e-14
0xC7B6,-7.7109375,0xA958,-4.796163466380676e-14,0xA959,-4.8183679268731794e-14,-4.794081798209504e-14,-4.8153579231226827e-14
0xC7B8,-7.71875,0xA94D,-4.551914400963142e-14,0xA94C,-4.529709940470639e-14,-4.5418530048024763e-14,-4.533841701356691e-14
