# British -> American dictionary for the manuscript spelling lint.
# One pair per line: <british> <american>. Case-insensitive matching.
# Legitimate British text (quoted titles, proper nouns) goes in
# tools/spelling-allowlist.txt as exact phrases, one per line.
stabiliser stabilizer
stabilisers stabilizers
stabilised stabilized
stabilise stabilize
stabilising stabilizing
destabiliser destabilizer
destabilisers destabilizers
randomised randomized
randomise randomize
randomising randomizing
randomisation randomization
derandomisation derandomization
derandomised derandomized
characterisation characterization
characterisations characterizations
characterised characterized
characterise characterize
characteriser characterizer
characterises characterizes
characterising characterizing
neighbour neighbor
neighbours neighbors
neighbouring neighboring
neighbourhood neighborhood
signalling signaling
modelled modeled
modelling modeling
scepticism skepticism
sceptical skeptical
sceptic skeptic
depolarising depolarizing
depolarisation depolarization
depolarised depolarized
polarisation polarization
polarised polarized
polariser polarizer
polarisers polarizers
polarising polarizing
hyperpolarised hyperpolarized
discretisation discretization
discretise discretize
discretised discretized
discretising discretizing
quantisation quantization
quantised quantized
quantise quantize
qubitisation qubitization
dequantisation dequantization
dequantise dequantize
dequantised dequantized
dequantisable dequantizable
diagonalisable diagonalizable
diagonalisation diagonalization
diagonalise diagonalize
diagonalised diagonalized
diagonalises diagonalizes
digitiser digitizer
digitisers digitizers
digitised digitized
factorisation factorization
factorised factorized
factorise factorize
generalisable generalizable
generalisation generalization
generalisations generalizations
generalise generalize
generalised generalized
generalises generalizes
generalising generalizing
hybridise hybridize
idealisation idealization
idealised idealized
initialisation initialization
initialise initialize
initialised initialized
initialiser initializer
internalise internalize
internalised internalized
ionisation ionization
linearisation linearization
localisation localization
localised localized
materialise materialize
materialised materialized
mechanised mechanized
normalisable normalizable
normalise normalize
normalised normalized
normalisation normalization
normaliser normalizer
optimisation optimization
optimise optimize
optimised optimized
optimiser optimizer
optimisers optimizers
optimising optimizing
organised organized
organise organize
publicised publicized
realisable realizable
realisation realization
realise realize
realised realized
realises realizes
realising realizing
recognisable recognizable
recognise recognize
recognised recognized
recognises recognizes
renormalisation renormalization
renormalised renormalized
subnormalisation subnormalization
standardisation standardization
standardise standardize
standardised standardized
specialisation specialization
specialised specialized
summarise summarize
summarised summarized
synthesise synthesize
synthesised synthesized
synthesiser synthesizer
thermalisation thermalization
thermalise thermalize
thermalised thermalized
parameterised parameterized
parameterise parameterize
parameterisation parameterization
parametrisation parametrization
parametrised parametrized
maximise maximize
maximisation maximization
minimise minimize
minimisation minimization
formalise formalize
formalised formalized
emphasise emphasize
emphasised emphasized
emphasising emphasizing
analyse analyze
analysed analyzed
analysing analyzing
behaviour behavior
behaviours behaviors
colour color
colours colors
coloured colored
colouring coloring
colourable colorable
centre center
centres centers
centred centered
centrepiece centerpiece
fibre fiber
fibres fibers
flavour flavor
flavours flavors
flavoured flavored
favour favor
favours favors
favourable favorable
honour honor
metre meter
kilometre kilometer
kilometres kilometers
nanometre nanometer
nanometres nanometers
programme program
programmes programs
artefact artifact
artefacts artifacts
labelled labeled
labelling labeling
relabelling relabeling
unlabelled unlabeled
travelled traveled
travelling traveling
cancelled canceled
cancelling canceling
catalogue catalog
catalogues catalogs
catalogued cataloged
analogue analog
analogues analogs
grey gray
judgement judgment
tunnelling tunneling
whilst while
amongst among
trotterisation trotterization
trotterised trotterized
hermitisation hermitization
qubitised qubitized
relativisation relativization
relativised relativized
axiomatisation axiomatization
orthonormalised orthonormalized
antisymmetrised antisymmetrized
amortised amortized
containerised containerized
taxonomise taxonomize
conditionalisation conditionalization
unoptimisable unoptimizable
unrealised unrealized
weaponises weaponizes
weaponise weaponize
